Таврійська губернська палата цивільного суду, м. Сімферополь Таврійської губернії	Сімферополь	-
Народний суд 7-го поділу Роменського округу, м.Гадяч Гадяцького р-ну Роменського окр., до 1925р. Полтавської губ.	Гадяч	Полтавська
Народний суд 7-ї дільниці Гадяцького пов., с.Липова Долина Липово-Долинської вол. Гадяцького пов. Полтавської губ.	Липова Долина	Полтавська
Народний суд 7-ї дільниці Роменського пов., с. Великі Бубни Роменського пов. Полтавської губ.	Великі Бубни	Полтавська
Народний суд 8-ї дільниці Гадяцького повіту, м.Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Народний суд 8-ї дільниці Лохвицького повіту, с.Андріяшівка Андріяшівської вол. Лохвицького пов. Полтавської губ.	Андріяшівка	Полтавська
Народний суд 8-ї дільниці, с. Городище Городищенської вол. Пирятинського пов. Полтавської губ.	Городище	Полтавська
Народний суд 9-ї дільниці Гадяцького повіту, м.Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Народний суд 9-ї дільниці Пирятинського повіту, с.Білоцерківці Білоцерківської вол. Пирятинського пов. Полтавської губ.	Білоцерківці	Полтавська
Народний суд 9-ї дільниці Пирятинського району, с.Теплівка Пирятинського р-ну Роменського окр. Полтавської губ.	Теплівка	Полтавська
Народний суд 9-ї дільниці, с.Івахники Івахниківської вол. Лохвицького пов. Полтавської губ.	Івахники	Полтавська
Народний суд 9-ї дільниці, с.Харківці Харковецької вол. Пирятинського пов. Полтавської губ.	Харківці	Полтавська
Народний суд Миргородського району, м.Миргород Миргородського р-ну Лубенського окр., до 1925р. Полтавської губ., з 1932р. Харківської обл.	Миргород	Полтавська
Особа сесія народного суду по Пирятинському повіту, м.Пирятин Пирятинського пов. Полтавської губ.	Пирятин	Полтавська
Особа сесія Полтавського губернського радянського народного суду по Кременчуцькому повіту, м.Кременчук Полтавської губ.	Кременчук	Полтавська
Особлива сесія народного суду Гадяцького повіту, м.Гадяч Гадяцького пов. Полтавської губ.	Гадяч	Полтавська
Особлива сесія народного суду Лохвицького повіту, м.Лохвиця Лохвицького пов. Полтавської губ.	Лохвиця	Полтавська
Особлива сесія народного суду по Миргородському повіту, м. Миргород Миргородського пов. Полтавської губ.	Миргород	Полтавська
Петрівська районна судово-земельна комісія, с.Петрівка Петрівського р-ну Роменського окр., до 1925р. Полтавської губ.	Петрівка	Полтавська
Пирятинський нижній земський суд, м. Пирятин Лубенського полку, з 1781р. Київського намісництва, з 1796р. Малоросійської губ., з 1802р. Полтавської губ.	Пирятин	Полтавська
Пирятинський повітовий суд, м. Пирятин Київського намісництва, з 1796р.Чернігівської губ., з 1797р.Малоросійської губ., з 1802р.Полтавської губ.	Пирятин	Полтавська
Полтавська губернська комісія по розгляду справ про осіб, арештованих в позасудовому порядку при Полтавському окружному суді, м.Полтава Полтавської губ.	Полтава	Полтавська
Полтавська губернська судово-земельна комісія Народного комісаріату землеробства УРСР, м.Полтава Полтавської губ.	Полтава	Полтавська
Полтавський губернський воєнно-революційний гарнізонний трибунал, м. Полтава Полтавської губ.	Полтава	Полтавська
Полтавський губернський революційний трибунал (губревтрибунал), м.Полтава Полтавської губ.	Полтава	Полтавська
Полтавський губернський суд (губсуд), м.Полтава Полтавської губ.	Полтава	Полтавська
Полтавський малоросійський совісний суд, м. Полтава Катеринославського намісництва, з 1796 р. Малоросійської губ, з 1802 р. Полтавської губ.	Полтава	Полтавська
Полтавський обласний суд Міністерства юстиції України, м.Полтава Полтавської обл.	Полтава	Полтавська
Полтавський окружний суд, м. Полтава Полтавської губ.	Полтава	Полтавська
Полтавський окружний суд (окрсуд), м. Полтава Полтавського окр.	Полтава	Полтавська
Полтавський повітовий коморський суд, м.Полтава Катеринославського намісництва	Полтава	Полтавська
Полтавський повітовий суд, м.Полтава Катеринославського намісництва	Полтава	Полтавська
Прокурор Лубенського окружного суду, м.Лубни Лубенського пов.Полтавської губ.	Лубни	Полтавська
Прокурор Полтавського окружного суду, м. Полтава Полтавської губ.	Полтава	Полтавська
Рашівський волосний суд, с.Рашівка Рашівської вол.Гадяцького пов.Полтавської губ.	Рашівка	Полтавська
Сарська волосна судово-земельна комісія Народного комісаріату земельних справ УРСР, с.Сари Сарської вол. Гадяцького пов. Полтавської губ.	Сари	Полтавська
Старший нотаріус Полтавського окружного суду, м. Полтава Полтавської губ.	Полтава	Полтавська
Судово-земельна комісія земельного відділу Пирятинського повітового виконавчого комітету Рад робітничих, селянських і червоноармійських депутатів, м.Пирятин Пирятинського пов. Полтавської губ.	Пирятин	Полтавська
Товариш прокурора Полтавського окружного суду, м.Полтава Полтавської губ.	Полтава	Полтавська
Хорольський нижній земський суд, м. Хорол Київського намісництва, з 1795р. Катеринославського намісництва, з 1796р. Малоросійської губ, з 1802 р.Полтавської губ.	Хорол	Полтавська
Хорольський повітовий суд, м.Хорол Миргородського полку, з 1781р. Київського намісництва, з 1795р. Катеринославського намісництва, з 1796р. Малоросійської губ., з 1802р. Полтавської губ.	Хорол	Полтавська
Дубенський повітовий суд, м. Дубно Дубенського повіту Волинської губернії	Дубно	Рівненська
Корецький повітовий суд, м. Корець Волинської губернії	Корець	Рівненська
Острозький підкоморський суд, м.Острог Острозького повіту Волинської губернії	Острог Острозького	Рівненська
Острозький повітовий суд, м. Острог Острозького повіту Волинської губернії	Острог Острозького	Рівненська
Прокуратура Рівненського окружного суду, м. Рівне Рівненського повіту Волинського воєводства	Рівне	Рівненська
Рівненський земський суд, м. Рівне Волинської губернії	Рівне	Рівненська
Рівненський повітовий суд, м. Рівне Рівненського повіту Волинської губернії	Рівне	Рівненська
Конотопський нижній земський суд м. Конотоп	Конотоп	Сумська
Калінінський районний суд. с. Калінінське	Калінінське	Херсонська
